"","Species","Min","1stQ","Median","Mean","3rdQ","Max"
"1","Venus verrucosa","9.88","12.66","13.18","14.04","14.1","19.96"
"2","Venerupis rhomboides","9.71","11.27","12.63","12.08","12.78","19.87"
"3","Venerupis corrugata","9.71","10.79","12.07","11.71","12.19","19.04"
"4","Venerupis aurea","10","13.18","16.72","15.87","17.42","20.73"
"5","Valamugil seheli","19.98","26.52","27.95","27.11","28.5","29.29"
"6","Undaria pinnatifida","10.42","14.49","15.43","16.48","19.54","21.56"
"7","Turbo setosus","24.18","26.11","27.76","27.39","28.1","29.67"
"8","Tridacna squamosa","24.82","27.97","28.69","28.32","29.2","29.79"
"9","Tridacna maxima","21.58","25.5","28","27.32","28.69","29.79"
"10","Trachurus japonicus","14.7","21.94","22.77","22.59","23.83","27.29"
"11","Trachinotus ovatus","10.29","18.94","19.44","20.72","24.39","27.42"
"12","Trachinotus carolinus","7.51","22.19","23.42","22.85","24.33","27.61"
"13","Trachinotus blochii","8.73","25.31","26.45","26.34","28.05","30.11"
"14","Thunnus thynnus","7.13","16.34","18.75","20.17","25.94","28.24"
"15","Thunnus orientalis","12.21","23.48","24.42","24.31","26.17","27.59"
"16","Thunnus maccoyii","13.28","18.73","19.74","19.87","21.08","27.19"
"17","Thunnus albacares","9.46","20.78","25.86","23.62","26.22","29.44"
"18","Tegillarca granosa","20.35","28.5","28.53","28.4","28.88","29.79"
"19","Tapes rhomboides","9.71","11.27","12.63","12.08","12.78","19.87"
"20","Sparus aurata","11.85","18.82","20.11","18.87","20.32","23.09"
"21","Solea solea","9.65","11.41","12.09","11.94","12.41","24.8"
"22","Siganus sutor","20.38","26.01","27.3","26.57","28.05","28.13"
"23","Siganus rivulatus","20.24","22.9","23.05","23.23","23.05","29.65"
"24","Siganus lineatus","23.95","26.31","28.5","27.8","29.15","29.79"
"25","Siganus javus","25.49","28.24","29.21","28.41","29.25","29.35"
"26","Siganus fuscescens","16.25","25.18","25.79","25.47","26.25","29.26"
"27","Siganus canaliculatus","22.63","27.02","27.25","27.1","27.49","29.35"
"28","Seriola rivoliana","11.78","23.47","23.9","24.41","26.59","28.95"
"29","Seriola lalandi","11.52","17.19","17.86","17.93","17.88","27.64"
"30","Seriola dumerili","10.26","23.89","25.49","24.85","26.62","28.64"
"31","Sepia officinalis","9.82","12.67","12.93","16.18","19.94","29.15"
"32","Scylla serrata","17.21","20.41","21.31","21.88","23.16","29.79"
"33","Scrobicularia plana","9.75","12.3","14.72","13.89","14.73","16.78"
"34","Scophthalmus rhombus","4.75","10.37","11.03","11.24","11.99","22.03"
"35","Scophthalmus maximus","7.41","10","10.36","10.63","11.26","19.94"
"36","Scomber japonicus","4.38","17.19","18.15","18.24","18.78","27.5"
"37","Sciaenops ocellatus","13.01","23.99","24.07","24.15","24.36","27.73"
"38","Sciaena umbra","17.04","17.8","17.8","18.38","18.79","23.05"
"39","Schedophilus ovalis","13.43","17.6","18.96","18.45","19.47","21.55"
"40","Saxidomus gigantea","6.7","9.15","9.65","9.622","11.335","11.91"
"41","Salvelinus alpinus","-1.14","-0.42","0.05","1.072","3.02","8.48"
"42","Salmo trutta","4.7","11.88","11.88","11.5","11.88","15.78"
"43","Salmo salar","0.4","9.35","10.11","10.03","10.53","15.36"
"44","Saccostrea cuccullata","17.64","24.86","27.26","26.3","27.44","29.81"
"45","Saccharina latissima","-0.46","10.2","10.3","10.31","10.79","14.61"
"46","Ruditapes philippinarum","8.24","12.38","15.59","15.88","19.5","28.69"
"47","Ruditapes decussatus","7.24","10.79","11.99","13.28","16.46","20.72"
"48","Rhabdosargus sarba","18.12","20.21","20.26","20.96","20.43","28.94"
"49","Rachycentron canadum","13.78","21.45","23.45","22.71","26.16","29.22"
"50","Pyura stolonifera","14.11","18.11","18.33","19.13","20.31","24.11"
"51","Pseudocaranx dentex","12.53","17.47","20.45","19.8","22.23","28.7"
"52","Psammoperca waigiensis","22.64","26.52","28.23","27.52","28.58","29.23"
"53","Portunus trituberculatus","13.52","14.7","15.37","17.09","16.85","29.12"
"54","Portunus pelagicus","15.73","23.07","24.77","24.49","27.27","29.3"
"55","Porphyra columbina","6.78","13.94","14.58","14.31","17.36","18.64"
"56","Pomatomus saltatrix","9.12","16.54","17.86","18.18","20.22","26.76"
"57","Pollachius pollachius","9.73","10.58","11.88","11.63","12.68","16.65"
"58","Plectropomus maculatus","20.78","25.75","25.75","25.78","25.75","29.79"
"59","Platichthys flesus","1.41","9.81","10.11","10.28","10.4","20.09"
"60","Platax orbicularis","19.98","25.32","27.25","26.87","28.55","29.81"
"61","Planiliza haematocheilus","7.52","18.65","19.44","17.48","19.46","25.04"
"62","Placopecten magellanicus","-0.24","10.02","10.72","10.79","11.49","22.22"
"63","Pinctada maxima","23.51","27.39","27.93","27.81","28.68","29.68"
"64","Pinctada margaritifera","14.76","25.4","27.97","27.35","29.19","29.79"
"65","Pinctada fucata","20.26","22.06","22.06","22.33","22.06","29.01"
"66","Perna viridis","22.44","26.13","26.21","26.73","28.54","29.69"
"67","Perna perna","15.96","19.05","22.55","21.43","23.43","28.69"
"68","Perna canaliculus","11.64","15.11","16.36","15.91","17.06","17.93"
"69","Penaeus setiferus","14.36","23.24","23.85","23.52","24","27.21"
"70","Penaeus semisulcatus","19.75","27.45","27.65","27.5","27.88","29.12"
"71","Penaeus schmitti","23.14","23.48","23.5","24.38","23.58","28.37"
"72","Penaeus plebejus","15.25","21.4","23.65","23.05","24.86","27.32"
"73","Penaeus monodon","17.73","22.34","23.24","24.33","27.25","29.12"
"74","Penaeus kerathurus","18.32","21.44","21.65","21.18","21.69","25.53"
"75","Penaeus japonicus","15.91","23.05","23.07","23.06","23.08","28.92"
"76","Penaeus indicus","26.97","27.42","27.52","27.58","27.52","29.12"
"77","Penaeus esculentus","22.34","27.35","27.47","27.31","27.65","28.46"
"78","Pecten maximus","9.71","10.52","11.72","11.68","12.7","19.8"
"79","Pecten jacobaeus","17.17","17.73","18.73","18.57","18.97","20.26"
"80","Pecten fumatus","13.71","13.91","14.79","15.94","15.41","28.39"
"81","Paralichthys olivaceus","13.52","15.24","19.98","19.45","22.32","27.08"
"82","Paracentrotus lividus","9.73","17.8","18.79","18.31","19.15","21.72"
"83","Panulirus argus","21.72","27.73","27.98","27.84","28.05","28.89"
"84","Palmaria palmata","4.93","10.67","11.79","11.28","12.48","15.76"
"85","Palaemon serratus","9.75","11.12","11.88","11.97","12.45","27.1"
"86","Palaemon adspersus","6.75","9.2","9.26","9.911","10.33","23"
"87","Pagrus pagrus","11.27","19.51","20.97","21.42","23.46","27.65"
"88","Pagrus major","13.8","19.36","22.48","21.34","23.48","28.44"
"89","Pagrus caeruleostictus","20.81","21.83","24.36","23.75","25.1","27.63"
"90","Pagrus auriga","17.24","20.61","20.97","21.96","24.4","25.59"
"91","Pagrus auratus","12.93","16.5","17.07","17.08","17.45","28.6"
"92","Pagellus erythrinus","10.33","19.51","19.93","20.36","21.44","23.13"
"93","Pagellus bogaraveo","11.66","18.65","18.96","18.97","19.41","24.9"
"94","Ostrea lurida","9.32","9.57","10.55","10.55","11.29","11.65"
"95","Ostrea edulis","9.9","11.62","12.09","12.38","12.24","20.01"
"96","Ostrea chilensis","11.33","12.36","13.45","13.83","15.13","17.07"
"97","Oplegnathus fasciatus","16.49","20.73","22.59","22.41","24.01","27.92"
"98","Oncorhynchus nerka","-0.17","9.13","9.3","9.615","10.17","11.67"
"99","Oncorhynchus mykiss","5.96","9.32","10.61","10.52","11.49","20.43"
"100","Oncorhynchus masou","4.08","5.8","6.22","6.099","7.082","7.38"
"101","Oncorhynchus kisutch","0.79","9.32","9.81","9.883","10.55","12.78"
"102","Oncorhynchus keta","0.49","9.13","9.31","9.448","10.31","11.71"
"103","Oncorhynchus gorbuscha","0.72","9.26","10.12","9.829","10.31","11.71"
"104","Naso vlamingii","14.18","28.05","28.59","28.35","28.73","29.45"
"105","Mytilus planulatus","12.14","15.69","15.75","15.72","15.77","19.99"
"106","Mytilus galloprovincialis","4.35","14.86","15.7","16.43","18.94","29"
"107","Mytilus edulis","1.01","8.93","9.89","10.04","10.89","21.22"
"108","Mycteroperca bonaci","18.9","26.61","26.83","26.8","26.99","28.87"
"109","Mya arenaria","3.69","9.95","10.29","10.29","10.63","22.25"
"110","Muraenesox cinereus","15.09","25.53","27.59","26.47","27.98","29.23"
"111","Mugil liza","17.01","18.92","18.99","20.56","19.18","28.87"
"112","Mugil cephalus","11.56","23.99","24.07","24.06","24.5","29.59"
"113","Morone saxatilis","5.34","13.69","15.23","14.34","16.17","25.41"
"114","Micropogonias furnieri","10.49","18.92","18.99","19.52","19.12","28.22"
"115","Metapenaeus monoceros","21.63","21.72","27.48","25.36","27.52","28.8"
"116","Metapenaeus macleayi","15.85","19.16","21.09","21.03","22.82","24"
"117","Metapenaeus ensis","19.52","27.64","27.82","27.74","27.94","28.92"
"118","Mercenaria mercenaria","8.14","10.94","13.23","14.24","16.3","27.78"
"119","Melicertus kerathurus","18.32","21.44","21.65","21.18","21.69","25.53"
"120","Melanogrammus aeglefinus","0.79","10.02","10.37","10.4","10.78","18.77"
"121","Megalops atlanticus","21.05","26.88","26.89","26.52","26.98","28.36"
"122","Maja squinado","9.79","12.05","12.53","12.44","12.74","28.71"
"123","Mactra veneriformis","13.32","19.5","19.5","19.5","19.5","20.68"
"124","Macrocystis pyrifera","3.99","14.41","15.43","15.98","17.29","21.56"
"125","Macrocystis integrifolia","3.99","14.41","15.43","15.98","17.29","21.56"
"126","Lutjanus sebae","14.21","24.55","25.65","25.6","26.17","28.89"
"127","Lutjanus russelli","19.98","24.47","26.15","26.06","27.37","29.68"
"128","Lutjanus malabaricus","22.34","26.36","27.43","27.12","28.02","29.1"
"129","Lutjanus johnii","19.36","25.48","25.48","25.87","25.48","29.26"
"130","Lutjanus guttatus","17.49","27.12","27.12","27.25","27.5","29.16"
"131","Lutjanus erythropterus","23.99","26.22","26.58","26.76","27.34","28.76"
"132","Lutjanus bohar","22.15","28.01","28.06","28.03","28.59","29.79"
"133","Lutjanus argentimaculatus","17.21","22.5","25.48","24.05","25.48","29.51"
"134","Liza vaigiensis","15.68","26.45","28.12","26.86","28.52","29.74"
"135","Liza ramada","10.73","11.88","13.97","14.3","16.39","24.99"
"136","Lethrinus miniatus","18.89","24.18","24.18","24.55","25.06","28.84"
"137","Lates calcarifer","15.76","25.48","25.48","25.49","25.48","29.29"
"138","Lateolabrax japonicus","13.52","14.07","18.54","17.85","20.43","27.08"
"139","Laminaria japonica","-1.41","11.55","13.03","12.36","13.3","28.52"
"140","Laminaria digitata","2.98","10.24","10.37","10.88","11.64","14.25"
"141","Konosirus punctatus","13.52","15.48","19.05","19.12","22.48","26.08"
"142","Helicolenus dactylopterus","5.98","10.44","11.04","12.36","12.42","27.23"
"143","Haliotis tuberculata","12.79","13.15","13.19","15.06","18.67","23.07"
"144","Haliotis rufescens","10.82","11.51","11.59","12.29","12.9","28.69"
"145","Haliotis iris","11.55","12.95","12.95","13.86","13.99","17.9"
"146","Gracilaria verrucosa","10.27","11.87","12.74","13.07","12.74","28.85"
"147","Gracilaria gracilis","9.76","10.95","11.3","12.02","12.67","19.09"
"148","Gnathanodon speciosus","18.79","25.52","25.63","25.92","26.25","29.44"
"149","Gadus morhua","-1.59","9.82","10.11","9.98","10.39","24.09"
"150","Epinephelus tukula","22.52","24.9","25.91","25.92","26.66","29.44"
"151","Epinephelus tauvina","22.23","25.64","25.69","26.61","27.92","29.29"
"152","Epinephelus malabaricus","22.64","25.5","26.37","26.23","27.29","29.41"
"153","Epinephelus lanceolatus","17.72","25.75","26.88","26.84","28.53","29.21"
"154","Epinephelus fuscoguttatus","12.09","26.29","27.89","27.28","28.68","29.43"
"155","Epinephelus corallicola","24.61","26.52","27.66","27.32","28.53","29.26"
"156","Epinephelus coioides","21.09","25.1","26.43","26.45","28.1","29.44"
"157","Epinephelus awoara","17.24","19.68","22.77","22.82","26.06","27.08"
"158","Epinephelus areolatus","9.33","25.49","25.75","26.01","26.74","30.11"
"159","Enteromorpha prolifera","8.18","9.77","10.53","11.34","12.08","28.52"
"160","Ensis ensis","9.63","10.78","11.28","11.45","12.11","18.83"
"161","Ensis directus","8.13","11.78","12.01","12.77","12.13","23.53"
"162","Eleutheronema tetradactylum","20.37","25.51","25.51","25.81","25.73","29.59"
"163","Diplodus vulgaris","15.95","19.68","19.83","19.96","20.53","23.1"
"164","Diplodus sargus","12.41","18.94","19.68","19.8","20.62","24.59"
"165","Diplodus puntazzo","16.96","19.68","19.88","19.92","19.96","23.07"
"166","Dicentrarchus labrax","8.65","11.88","11.88","12.31","12.09","23.07"
"167","Dentex tumifrons","15.54","22.37","22.72","22.86","24.09","27.25"
"168","Dentex dentex","12.66","18.93","19.72","19.74","20.7","23"
"169","Decapterus macrosoma","19.94","23.71","24.89","25.52","28.1","29.09"
"170","Cyclina sinensis","15.59","20.14","20.14","20.23","22.16","22.16"
"171","Cromileptes altivelis","22.53","25.17","25.71","25.78","26.45","29.19"
"172","Crassostrea virginica","8.29","11.62","15.11","16.95","23.24","28.12"
"173","Crassostrea rhizophorae","21.55","23.78","26.2","25.49","27.19","27.84"
"174","Crassostrea gigas","8.25","11.65","12.79","14.01","14.95","28.51"
"175","Concholepas concholepas","10.34","16.5","18.95","17.16","19.25","19.25"
"176","Codium fragile","7.82","10.92","12.63","13.19","14.5","27.29"
"177","Chlamys varia","5.52","10.93","11.97","12.69","12.73","20.74"
"178","Chelonia mydas","2.75","23.52","25.59","25.25","26.38","30"
"179","Chanos chanos","17.21","26.88","28.03","26.96","28.44","29.45"
"180","Chamelea gallina","9.63","10.25","10.48","11.21","11.39","20.73"
"181","Chaetodipterus faber","7.43","22.36","23.93","23.69","24.97","28.87"
"182","Cerastoderma glaucum","6.48","8.59","9.24","9.637","10.24","20.73"
"183","Cerastoderma edule","7.57","10.8","12.09","12","12.3","28.89"
"184","Centropristis striata","7.43","14.63","16.57","17.93","22.24","27.64"
"185","Centropomus undecimalis","21.17","24.55","24.97","25.16","25.08","28.29"
"186","Caulerpa racemosa","14.59","21.58","26.16","24.98","27.05","29.34"
"187","Carcinus maenas","7.79","10.5","10.69","10.64","10.69","23.27"
"188","Carcinus aestuarii","14.49","17.44","18.83","18.59","19.75","23"
"189","Caranx sexfasciatus","20.38","26.67","28.05","27.29","28.7","30.11"
"190","Caranx ignobilis","15.48","25.09","25.52","25.57","26.07","29.81"
"191","Caranx hippos","7.52","24.11","24.55","24.15","25.08","28.69"
"192","Carangoides malabaricus","18.7","27.41","27.65","27.2","27.89","29.2"
"193","Callinectes sapidus","10.93","23.31","23.98","22.51","24.06","28.03"
"194","Bolinus brandaris","16.68","18.91","19.39","19.56","19.67","23.1"
"195","Aulacomya ater","3.99","13.61","14.06","13.58","14.7","19.07"
"196","Atherina boyeri","-1.66","16.88","17.44","16.24","17.57","19.89"
"197","Asaphis violascens","24.13","25.08","28.33","27.2","28.52","29.4"
"198","Argyrosomus regius","14.45","15.25","15.25","16.08","15.82","25.59"
"199","Argyrosomus japonicus","18.83","19.72","19.72","19.87","20.26","24.59"
"200","Argyrosomus hololepidotus","14.65","18.13","19.72","20.25","22.64","27.42"
"201","Anguilla japonica","13.52","28.82","28.83","27.6","28.89","29.03"
"202","Anguilla australis","14.07","17.18","20.57","20.17","23.12","26.11"
"203","Anguilla anguilla","6.94","9.85","10","10.29","10.31","22.14"
"204","Anarhichas lupus","-0.37","5.5","7.9","7.263","9.408","14.6"
"205","Anadara tuberculosa","26.75","26.77","26.77","26.79","26.78","27.52"
"206","Alaria esculenta","-0.46","6.305","10.36","9.119","11.22","15.39"
"207","Aequipecten opercularis","9.63","11.32","12.6","12.29","12.77","20.74"
"208","Acanthopagrus schlegelii","13.52","19.43","19.98","21.06","23.89","27.08"
"209","Acanthopagrus latus","19.43","19.46","20.11","22.36","25.35","28.53"
"210","Acanthopagrus berda","17.21","20.88","22.82","22.6","23.57","28.9"
"211",NA,NA,NA,NA,NA,NA,NA
