",""Species"",""Min"",""1stQ"",""Median"",""Mean"",""3rdQ"",""Max"""
"1,""Venus verrucosa"",""9.73"",""12.09"",""13.18"",""14.49"",""17.22"",""24.6"""
"2,""Venerupis rhomboides"",""9.71"",""11.27"",""12.62"",""12.05"",""12.78"",""19.91"""
"3,""Venerupis corrugata"",""9.71"",""10.78"",""12.04"",""11.65"",""12.15"",""23.07"""
"4,""Venerupis aurea"",""4.5"",""13.95"",""15.83"",""15.66"",""17.42"",""22.62"""
"5,""Valamugil seheli"",""19.01"",""26.13"",""27.47"",""27.15"",""28.64"",""29.87"""
"6,""Undaria pinnatifida"",""10.42"",""14.49"",""15.23"",""16.24"",""17.66"",""21.56"""
"7,""Umbrina cirrosa"",""13.86"",""18.94"",""26.65"",""23.97"",""27.65"",""29.18"""
"8,""Turbo setosus"",""23.14"",""26.11"",""27.77"",""27.51"",""28.69"",""29.79"""
"9,""Turbo cornutus"",""17.55"",""17.61"",""21.08"",""21.51"",""24.71"",""27.1"""
"10,""Tridacna squamosa"",""24.29"",""28.06"",""28.72"",""28.42"",""29.13"",""29.92"""
"11,""Tridacna maxima"",""9.43"",""25.5"",""28.01"",""27.37"",""28.77"",""29.81"""
"12,""Tridacna gigas"",""25.09"",""26.45"",""28.64"",""28.06"",""29.27"",""29.79"""
"13,""Tridacna derasa"",""4.12"",""25.28"",""27.29"",""26.99"",""29.18"",""29.48"""
"14,""Tridacna crocea"",""23.95"",""28.47"",""29.18"",""28.66"",""29.22"",""29.81"""
"15,""Tresus nuttallii"",""9.63"",""11.62"",""13.61"",""13.61"",""15.59"",""17.58"""
"16,""Trachurus japonicus"",""9.28"",""20.71"",""22.72"",""22.35"",""23.83"",""27.29"""
"17,""Trachinotus ovatus"",""10.29"",""21.39"",""26.14"",""24.56"",""27.64"",""28.06"""
"18,""Trachinotus carolinus"",""7.51"",""22.32"",""23.62"",""23.02"",""24.23"",""28.93"""
"19,""Trachinotus blochii"",""8.73"",""25.51"",""26.91"",""26.36"",""27.78"",""30.11"""
"20,""Thunnus thynnus"",""5.99"",""16.34"",""18.89"",""20.25"",""25.92"",""28.69"""
"21,""Thunnus orientalis"",""6.37"",""23.48"",""24.42"",""24.3"",""26.17"",""29"""
"22,""Thunnus maccoyii"",""7.89"",""18.57"",""19.65"",""19.8"",""21.08"",""28.49"""
"23,""Thunnus albacares"",""8.67"",""23.71"",""26.12"",""24.7"",""27.45"",""29.8"""
"24,""Thenus orientalis"",""23.31"",""27"",""27.04"",""27.3"",""27.88"",""29.66"""
"25,""Tegillarca granosa"",""20.35"",""27.78"",""28.5"",""27.78"",""28.54"",""29.79"""
"26,""Polititapes rhomboides"",""9.71"",""11.27"",""12.62"",""12.05"",""12.78"",""19.91"""
"27,""Takifugu rubripes"",""10"",""18.02"",""19.73"",""19.91"",""22.57"",""26.01"""
"28,""Synodus marchenae"",""18.53"",""20.52"",""22.5"",""21.18"",""22.5"",""22.5"""
"29,""Symphysanodon berryi"",""23.19"",""27.52"",""27.8"",""27.41"",""27.96"",""28.68"""
"30,""Aliger gigas"",""18.56"",""28.11"",""28.11"",""27.91"",""28.12"",""28.89"""
"31,""Sparus aurata"",""10.37"",""17.93"",""18.94"",""18.89"",""20.32"",""27.04"""
"32,""Sparidentex hasta"",""27.04"",""27.68"",""28.32"",""27.98"",""28.39"",""28.39"""
"33,""Solea solea"",""8.14"",""11.4"",""11.93"",""11.96"",""12.38"",""28.28"""
"34,""Solea senegalensis"",""18.99"",""20.38"",""20.47"",""21.96"",""27.14"",NA"
"35,""Sinonovacula constricta"",""20.41"",""20.41"",""20.41"",""20.41"",""20.41"",NA"
"36,""Siganus sutor"",""18.27"",""24.66"",""27.25"",""25.98"",""27.25"",""29.27"""
"37,""Siganus rivulatus"",""15.34"",""23.01"",""23.05"",""23.94"",""24.48"",""29.97"""
"38,""Siganus lineatus"",""23.06"",""26.15"",""28.11"",""27.55"",""29.15"",""29.8"""
"39,""Siganus javus"",""20.29"",""27.68"",""28.63"",""28.27"",""29.23"",""29.66"""
"40,""Siganus fuscescens"",""16.25"",""25.59"",""26.3"",""26.1"",""27.37"",""29.87"""
"41,""Siganus canaliculatus"",""22.26"",""27"",""27.25"",""27.28"",""27.79"",""29.87"""
"42,""Seriola rivoliana"",""11.63"",""25.97"",""27.72"",""26.88"",""28.28"",""29.8"""
"43,""Seriola quinqueradiata"",""13.33"",""19.61"",""22.36"",""21.24"",""22.77"",""24.93"""
"44,""Seriola lalandi"",""8.71"",""17.19"",""17.86"",""17.84"",""17.86"",""29.07"""
"45,""Seriola dumerili"",""8.74"",""24.07"",""26.14"",""25.14"",""26.89"",""29.5"""
"46,""Sepia officinalis"",""9.78"",""12.69"",""17.68"",""16.94"",""19.89"",""29.15"""
"47,""Sebastes schlegelii"",""7.52"",""7.77"",""13.49"",""12.4"",""15.27"",""19.52"""
"48,""Scylla serrata"",""17.21"",""20.78"",""23.16"",""23.3"",""26.12"",""29.79"""
"49,""Scylla paramamosain"",""27.25"",""27.25"",""27.25"",""27.25"",""27.25"",""27.25"""
"50,""Scylla olivacea"",""26.08"",""28.29"",""28.39"",""28.15"",""28.39"",""29.33"""
"51,""Scrobicularia plana"",""4.5"",""12.12"",""14.72"",""13.56"",""14.73"",""26.29"""
"52,""Scophthalmus rhombus"",""4.75"",""10.41"",""11.59"",""11.42"",""11.88"",""22.03"""
"53,""Scophthalmus maximus"",""6.57"",""10.06"",""10.47"",""10.73"",""11.44"",""20.31"""
"54,""Scomber japonicus"",""3.72"",""16.53"",""17.19"",""16.88"",""18.52"",""29.31"""
"55,""Sciaenops ocellatus"",""13.01"",""23.99"",""24.05"",""24.1"",""24.2"",""27.73"""
"56,""Sciaena umbra"",""12.47"",""17.8"",""18.79"",""21.22"",""26.75"",""29.18"""
"57,""Schedophilus ovalis"",""11.52"",""17.23"",""18.67"",""18.66"",""19.87"",""26.52"""
"58,""Scapharca cornea"",""17.32"",""17.56"",""18.81"",""17.57"",""29.2"",NA"
"59,""Saxidomus gigantea"",""6.67"",""9.51"",""9.83"",""9.839"",""9.925"",""20.67"""
"60,""Sargassum fusiforme"",""13.69"",""18.98"",""19.81"",""19.7"",""20.52"",""28.52"""
"61,""Salvelinus alpinus"",""-1.57"",""-0.53"",""-0.05"",""0.4301"",""0.87"",""13.61"""
"62,""Salmo trutta fario"",""12.12"",""15.51"",""16.64"",""15.97"",""17.1"",""18.48"""
"63,""Salmo trutta"",""4.7"",""11.88"",""11.88"",""11.26"",""11.88"",""20.31"""
"64,""Salmo salar"",""0"",""5.79"",""7.01"",""7.905"",""9.95"",""24.11"""
"65,""Saccostrea cuccullata"",""17.18"",""27.25"",""27.25"",""27.01"",""27.25"",""29.81"""
"66,""Saccostrea glomerata"",""13.55"",""17.99"",""20.29"",""21.34"",""23.55"",""29.27"""
"67,""Saccharina latissima"",""-0.46"",""10.2"",""10.33"",""10.39"",""10.86"",""29.15"""
"68,""Ruditapes philippinarum"",""8.24"",""10.89"",""11.57"",""13.19"",""15.09"",""28.91"""
"69,""Ruditapes decussatus"",""7.24"",""10.85"",""12.6"",""13.79"",""16.69"",""21.21"""
"70,""Rhopilema esculentum"",""23.19"",""23.19"",""23.19"",""23.19"",""23.19"",NA"
"71,""Rhabdosargus sarba"",""15.08"",""20.21"",""20.41"",""21.1"",""21.28"",""29.97"""
"72,""Rachycentron canadum"",""10.75"",""23.09"",""25.35"",""24.45"",""27.32"",""29.86"""
"73,""Pyura stolonifera"",""13.79"",""15.75"",""18.24"",""18.43"",""20.36"",""26.45"""
"74,""Pteria penguin"",""21.39"",""26.96"",""28.04"",""27.49"",""28.84"",""29.83"""
"75,""Pseudocaranx dentex"",""7.89"",""16.75"",""17.42"",""18.3"",""20.42"",""28.7"""
"76,""Psammoperca waigiensis"",""20.14"",""25.55"",""27.43"",""26.77"",""28.5"",""29.79"""
"77,""Portunus trituberculatus"",""10.26"",""14.47"",""16.26"",""16.52"",""17.87"",""29.12"""
"78,""Portunus pelagicus"",""15.65"",""20.55"",""24.29"",""24.11"",""27.08"",""29.44"""
"79,""Porphyra tenera"",""26.01"",""26.01"",""26.01"",""26.01"",""26.01"",NA"
"80,""Porphyra columbina"",""6.78"",""13.76"",""14.58"",""14.32"",""17.36"",""18.64"""
"81,""Pomatomus saltatrix"",""7.93"",""16.53"",""16.86"",""17.9"",""19.07"",""29.18"""
"82,""Polydactylus sexfilis"",""22.26"",""25.51"",""27.63"",""27.1"",""28.41"",""29.31"""
"83,""Pollachius pollachius"",""8.18"",""10.56"",""11.88"",""11.55"",""12.06"",""16.65"""
"84,""Pleurogrammus azonus"",""9.922"",""13.955"",""13.264"",""16.91"",""18.68"",NA"
"85,""Plectropomus maculatus"",""20.78"",""25.75"",""25.75"",""25.9"",""25.75"",""29.8"""
"86,""Platichthys flesus"",""1.41"",""9.89"",""10.23"",""10.5"",""11.37"",""27.78"""
"87,""Platax orbicularis"",""16.9"",""26.45"",""27.61"",""27.2"",""28.56"",""29.98"""
"88,""Planiliza haematocheilus"",""7.52"",""18.65"",""19.43"",""18.43"",""19.5"",""27.66"""
"89,""Placopecten magellanicus"",""-0.24"",""10.19"",""10.77"",""11.04"",""11.66"",""27.79"""
"90,""Pinctada maxima"",""20.29"",""26.41"",""27.93"",""27.19"",""28.52"",""29.81"""
"91,""Pinctada margaritifera"",""14.76"",""25.39"",""27.66"",""27.13"",""29.09"",""29.79"""
"92,""Pinctada fucata"",""17.22"",""22.06"",""22.06"",""22.97"",""22.93"",""29.05"""
"93,""Perna viridis"",""12.67"",""26.13"",""27.7"",""27.07"",""28.87"",""29.69"""
"94,""Perna perna"",""14.51"",""20.22"",""23.12"",""21.95"",""23.49"",""28.69"""
"95,""Perna canaliculus"",""11.55"",""15.07"",""16.36"",""15.85"",""17.09"",""17.93"""
"96,""Penaeus vannamei"",""22.3"",""23.99"",""26.7"",""26.3"",""28.55"",""29.46"""
"97,""Penaeus stylirostris"",""22.42"",""25.16"",""26.59"",""26.14"",""27.68"",""28.32"""
"98,""Penaeus setiferus"",""12.76"",""23.26"",""23.92"",""23.6"",""24.02"",""28.27"""
"99,""Penaeus semisulcatus"",""19.75"",""27.38"",""27.75"",""27.39"",""27.87"",""29.49"""
"100,""Penaeus schmitti"",""21.52"",""23.58"",""26.9"",""26.09"",""27.08"",""28.53"""
"101,""Penaeus plebejus"",""15.25"",""19.65"",""20.26"",""20.87"",""21.58"",""27.32"""
"102,""Penaeus penicillatus"",""24.11"",""26.71"",""27.53"",""27.05"",""27.79"",""28.89"""
"103,""Penaeus monodon"",""17.73"",""22.32"",""23.24"",""24.33"",""27.25"",""29.82"""
"104,""Penaeus merguiensis"",""20.37"",""27.75"",""27.79"",""27.7"",""27.85"",""29.49"""
"105,""Penaeus kerathurus"",""17.16"",""20.09"",""21.65"",""21.31"",""21.71"",""27.79"""
"106,""Penaeus japonicus"",""15.91"",""23.05"",""23.07"",""23.38"",""23.09"",""29.22"""
"107,""Penaeus indicus"",""18.27"",""27.52"",""28.23"",""27.65"",""28.34"",""29.24"""
"108,""Penaeus esculentus"",""19.8"",""27.22"",""27.49"",""27.2"",""27.76"",""28.52"""
"109,""Penaeus chinensis"",""12.54"",""13.86"",""13.87"",""14.47"",""24.49"",NA"
"110,""Pecten maximus"",""4.5"",""10.53"",""11.72"",""11.72"",""12.71"",""23.33"""
"111,""Pecten jacobaeus"",""17.17"",""17.81"",""18.38"",""18.8"",""18.94"",""27.92"""
"112,""Pecten fumatus"",""12.93"",""14.76"",""15.73"",""17.19"",""20.29"",""28.39"""
"113,""Patinopecten yessoensis"",""7.53"",""8.107"",""13.83"",""14.5"",""18.282"",""24.93"""
"114,""Paralichthys olivaceus"",""13.33"",""18.65"",""19.69"",""20.17"",""22.51"",""27.08"""
"115,""Paralichthys microps"",""12.7"",""12.7"",""12.7"",""12.7"",""12.7"",""12.7"""
"116,""Paracentrotus lividus"",""9.73"",""17.8"",""18.79"",""18.39"",""19.43"",""27.26"""
"117,""Paphia gallus"",""24.16"",""26.07"",""27.79"",""27.33"",""28.54"",""29.01"""
"118,""Panulirus polyphagus"",""27.02"",""27.84"",""27.84"",""28.81"",""29.57"",NA"
"119,""Panulirus japonicus"",""19.53"",""20.66"",""22.46"",""23.13"",""24.55"",""29.01"""
"120,""Panulirus argus"",""10.32"",""27.42"",""27.8"",""27.51"",""28.05"",""28.89"""
"121,""Panopea generosa"",""9.87"",""10.09"",""10.31"",""10.56"",""12.54"",NA"
"122,""Palmaria palmata"",""2.08"",""10.45"",""11.71"",""11.29"",""12.48"",""28.56"""
"123,""Palaemonetes varians"",""7.35"",""11.46"",""12.11"",""12.05"",""12.21"",""19.5"""
"124,""Palaemon serratus"",""9.63"",""11.24"",""11.96"",""12.05"",""12.65"",""27.1"""
"125,""Palaemon adspersus"",""6.75"",""9.2"",""10.21"",""11.61"",""11.34"",""23.02"""
"126,""Pagrus pagrus"",""11.27"",""19.3"",""19.3"",""21.23"",""23.46"",""28.06"""
"127,""Pagrus major"",""13.69"",""19.3"",""22.38"",""21.26"",""23.48"",""28.46"""
"128,""Pagrus caeruleostictus"",""19.04"",""24.59"",""25.69"",""25.62"",""27.59"",""28.06"""
"129,""Pagrus auriga"",""17.24"",""25.52"",""27.04"",""26.05"",""27.75"",""28.06"""
"130,""Pagrus auratus"",""10.8"",""16.9"",""17.19"",""17.18"",""17.49"",""28.6"""
"131,""Pagellus erythrinus"",""10.13"",""18.81"",""19.77"",""20.04"",""21.56"",""27.75"""
"132,""Pagellus bogaraveo"",""11.66"",""18.63"",""18.94"",""18.86"",""19.34"",""24.9"""
"133,""Ostrea lurida"",""9.32"",""9.57"",""10.55"",""10.55"",""11.29"",""17.34"""
"134,""Ostrea edulis"",""4.5"",""11.62"",""12.11"",""12.66"",""12.47"",""23.04"""
"135,""Ostrea conchaphila"",""23.22"",""27.12"",""23.3"",""27.2"",""27.44"",NA"
"136,""Ostrea chilensis"",""9.06"",""12.17"",""13.4"",""13.71"",""15.05"",""28.87"""
"137,""Oplegnathus fasciatus"",""16.49"",""19.91"",""22.52"",""21.88"",""23.89"",""27.92"""
"138,""Oncorhynchus nerka"",""-0.31"",""9.23"",""9.31"",""9.751"",""10.48"",""11.67"""
"139,""Oncorhynchus mykiss"",""3.62"",""9.32"",""10.61"",""10.69"",""11.49"",""20.43"""
"140,""Oncorhynchus masou"",""4.08"",""6.12"",""6.31"",""9.288"",""12.412"",""20.69"""
"141,""Oncorhynchus kisutch"",""0.79"",""9.5"",""9.96"",""10.05"",""10.58"",""17.19"""
"142,""Oncorhynchus keta"",""-0.34"",""9.15"",""9.46"",""9.62"",""10.48"",""16.49"""
"143,""Oncorhynchus gorbuscha"",""-0.48"",""9.26"",""9.86"",""9.804"",""10.31"",""18.92"""
"144,""Oncorhynchus tshawytscha"",""0.36"",""9.81"",""10.58"",""9.494"",""10.61"",""25.58"""
"145,""Nodipecten subnodosus"",""17.18"",""24.23"",""26.82"",""25.58"",""27.41"",""28.62"""
"146,""Naso vlamingii"",""14.18"",""28.05"",""28.55"",""28.32"",""28.73"",""29.8"""
"147,""Mytilus platensis"",""3.99"",""9.21"",""13.45"",""12.13"",""14.28"",""16.97"""
"148,""Mytilus planulatus"",""7.91"",""15.69"",""15.75"",""15.47"",""15.77"",""20.29"""
"149,""Mytilus galloprovincialis"",""4.35"",""14.77"",""15.51"",""16.17"",""18"",""29"""
"150,""Mytilus edulis"",""-1.55"",""9.2"",""10.2"",""10.2"",""10.93"",""28.87"""
"151,""Mytilus coruscus"",""12.85"",""19.73"",""22.06"",""20.89"",""22.06"",""22.16"""
"152,""Mytilus chilensis"",""6.51"",""6.51"",""6.895"",""7.508"",""7.07"",""13.62"""
"153,""Mycteroperca bonaci"",""-1.67"",""26.61"",""26.83"",""26.75"",""26.99"",""28.87"""
"154,""Mya arenaria"",""0.78"",""10.01"",""10.3"",""10.35"",""10.62"",""22.49"""
"155,""Muraenesox cinereus"",""13.62"",""26.34"",""27.65"",""26.56"",""28.18"",""29.97"""
